DATAFLOW,MEASURE: Measure,REGION_TYPE: Region Type,REGION: Region,FREQ: Frequency,TIME_PERIOD: Time Period,OBS_VALUE,UNIT_MEASURE: Unit of Measure,OBS_STATUS: Observation Status,OBS_COMMENT: Observation Comment,REPYEAREND: Reporting Year End Day
ABS:ERP_LGA2023(1.0.0),ERP: Estimated Resident Population,LGA2023: Local Government Areas (2023),25710: Nillumbik,A: Annual,2013,63174,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ERP_LGA2023(1.0.0),ERP: Estimated Resident Population,LGA2023: Local Government Areas (2023),25710: Nillumbik,A: Annual,2014,63433,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ERP_LGA2023(1.0.0),ERP: Estimated Resident Population,LGA2023: Local Government Areas (2023),25710: Nillumbik,A: Annual,2015,63675,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ERP_LGA2023(1.0.0),ERP: Estimated Resident Population,LGA2023: Local Government Areas (2023),25710: Nillumbik,A: Annual,2016,64174,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ERP_LGA2023(1.0.0),ERP: Estimated Resident Population,LGA2023: Local Government Areas (2023),25710: Nillumbik,A: Annual,2017,64414,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ERP_LGA2023(1.0.0),ERP: Estimated Resident Population,LGA2023: Local Government Areas (2023),25710: Nillumbik,A: Annual,2018,64542,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ERP_LGA2023(1.0.0),ERP: Estimated Resident Population,LGA2023: Local Government Areas (2023),25710: Nillumbik,A: Annual,2019,64464,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ERP_LGA2023(1.0.0),ERP: Estimated Resident Population,LGA2023: Local Government Areas (2023),25710: Nillumbik,A: Annual,2020,64322,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ERP_LGA2023(1.0.0),ERP: Estimated Resident Population,LGA2023: Local Government Areas (2023),25710: Nillumbik,A: Annual,2021,63450,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ERP_LGA2023(1.0.0),ERP: Estimated Resident Population,LGA2023: Local Government Areas (2023),25710: Nillumbik,A: Annual,2022,63066,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ERP_LGA2023(1.0.0),ERP: Estimated Resident Population,LGA2023: Local Government Areas (2023),25710: Nillumbik,A: Annual,2023,63264,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ERP_LGA2023(1.0.0),ERP: Estimated Resident Population,LGA2023: Local Government Areas (2023),36630: South Burnett,A: Annual,2013,32647,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ERP_LGA2023(1.0.0),ERP: Estimated Resident Population,LGA2023: Local Government Areas (2023),36630: South Burnett,A: Annual,2014,32606,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ERP_LGA2023(1.0.0),ERP: Estimated Resident Population,LGA2023: Local Government Areas (2023),36630: South Burnett,A: Annual,2015,32589,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ERP_LGA2023(1.0.0),ERP: Estimated Resident Population,LGA2023: Local Government Areas (2023),36630: South Burnett,A: Annual,2016,32625,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ERP_LGA2023(1.0.0),ERP: Estimated Resident Population,LGA2023: Local Government Areas (2023),36630: South Burnett,A: Annual,2017,32680,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ERP_LGA2023(1.0.0),ERP: Estimated Resident Population,LGA2023: Local Government Areas (2023),36630: South Burnett,A: Annual,2018,32698,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ERP_LGA2023(1.0.0),ERP: Estimated Resident Population,LGA2023: Local Government Areas (2023),36630: South Burnett,A: Annual,2019,32784,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ERP_LGA2023(1.0.0),ERP: Estimated Resident Population,LGA2023: Local Government Areas (2023),36630: South Burnett,A: Annual,2020,32952,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ERP_LGA2023(1.0.0),ERP: Estimated Resident Population,LGA2023: Local Government Areas (2023),36630: South Burnett,A: Annual,2021,33323,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ERP_LGA2023(1.0.0),ERP: Estimated Resident Population,LGA2023: Local Government Areas (2023),36630: South Burnett,A: Annual,2022,33783,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ERP_LGA2023(1.0.0),ERP: Estimated Resident Population,LGA2023: Local Government Areas (2023),36630: South Burnett,A: Annual,2023,34290,PSNS: Persons,,,30-6: Year Ending 30 June
