"Region","TimePeriod","PopulationValue"
"Nillumbik",2013,63174
"Nillumbik",2014,63433
"Nillumbik",2015,63675
"Nillumbik",2016,64174
"Nillumbik",2017,64414
"Nillumbik",2018,64542
"Nillumbik",2019,64464
"Nillumbik",2020,64322
"Nillumbik",2021,63450
"Nillumbik",2022,63066
"Nillumbik",2023,63264
"South Burnett",2013,32647
"South Burnett",2014,32606
"South Burnett",2015,32589
"South Burnett",2016,32625
"South Burnett",2017,32680
"South Burnett",2018,32698
"South Burnett",2019,32784
"South Burnett",2020,32952
"South Burnett",2021,33323
"South Burnett",2022,33783
"South Burnett",2023,34290
"Maralinga Tjarutja",2013,74
"Maralinga Tjarutja",2014,70
"Maralinga Tjarutja",2015,66
"Maralinga Tjarutja",2016,62
"Maralinga Tjarutja",2017,68
"Maralinga Tjarutja",2018,76
"Maralinga Tjarutja",2019,85
"Maralinga Tjarutja",2020,93
"Maralinga Tjarutja",2021,102
"Maralinga Tjarutja",2022,102
"Maralinga Tjarutja",2023,102
"Yankalilla",2013,4759
"Yankalilla",2014,4925
"Yankalilla",2015,5095
"Yankalilla",2016,5276
"Yankalilla",2017,5398
"Yankalilla",2018,5519
"Yankalilla",2019,5617
"Yankalilla",2020,5736
"Yankalilla",2021,5931
"Yankalilla",2022,5991
"Yankalilla",2023,6100
"Carnamah",2013,566
"Carnamah",2014,566
"Carnamah",2015,568
"Carnamah",2016,564
"Carnamah",2017,564
"Carnamah",2018,555
"Carnamah",2019,554
"Carnamah",2020,555
"Carnamah",2021,573
"Carnamah",2022,572
"Carnamah",2023,579
"Unincorporated NT",2013,8215
"Unincorporated NT",2014,7970
"Unincorporated NT",2015,7112
"Unincorporated NT",2016,7065
"Unincorporated NT",2017,7034
"Unincorporated NT",2018,7023
"Unincorporated NT",2019,7102
"Unincorporated NT",2020,7263
"Unincorporated NT",2021,7420
"Unincorporated NT",2022,7571
"Unincorporated NT",2023,7713
"Tweed",2013,90226
"Tweed",2014,91139
"Tweed",2015,92261
"Tweed",2016,93742
"Tweed",2017,94597
"Tweed",2018,95355
"Tweed",2019,96068
"Tweed",2020,96857
"Tweed",2021,97216
"Tweed",2022,97966
"Tweed",2023,98967
"Litchfield",2013,22195
"Litchfield",2014,23256
"Litchfield",2015,24757
"Litchfield",2016,25355
"Litchfield",2017,25203
"Litchfield",2018,24498
"Litchfield",2019,23331
"Litchfield",2020,23111
"Litchfield",2021,22879
"Litchfield",2022,23083
"Litchfield",2023,23415
"Burke",2013,506
"Burke",2014,450
"Burke",2015,396
"Burke",2016,342
"Burke",2017,362
"Burke",2018,381
"Burke",2019,399
"Burke",2020,415
"Burke",2021,430
"Burke",2022,432
"Burke",2023,438
"Inverell",2013,17715
"Inverell",2014,17746
"Inverell",2015,17764
"Inverell",2016,17815
"Inverell",2017,17840
