"TimePeriod","Region","ObsValue","State"
2019,"Adelaide",25376,"South Australia"
2013,"Adelaide",22143,"South Australia"
2023,"Adelaide",27901,"South Australia"
2018,"Adelaide",24688,"South Australia"
2015,"Adelaide",23085,"South Australia"
2016,"Adelaide",23552,"South Australia"
2014,"Adelaide",22624,"South Australia"
2017,"Adelaide",24188,"South Australia"
2020,"Adelaide",25964,"South Australia"
2021,"Adelaide",25522,"South Australia"
2022,"Adelaide",26183,"South Australia"
2016,"Adelaide Hills",39632,"South Australia"
2019,"Adelaide Hills",40587,"South Australia"
2015,"Adelaide Hills",39630,"South Australia"
2020,"Adelaide Hills",40969,"South Australia"
2018,"Adelaide Hills",40173,"South Australia"
2017,"Adelaide Hills",39875,"South Australia"
2022,"Adelaide Hills",41408,"South Australia"
2021,"Adelaide Hills",41237,"South Australia"
2013,"Adelaide Hills",39687,"South Australia"
2014,"Adelaide Hills",39657,"South Australia"
2023,"Adelaide Hills",41842,"South Australia"
2017,"Adelaide Plains",9040,"South Australia"
2018,"Adelaide Plains",9191,"South Australia"
2020,"Adelaide Plains",9677,"South Australia"
2015,"Adelaide Plains",8819,"South Australia"
2013,"Adelaide Plains",8646,"South Australia"
2014,"Adelaide Plains",8744,"South Australia"
2022,"Adelaide Plains",10454,"South Australia"
2016,"Adelaide Plains",8912,"South Australia"
2023,"Adelaide Plains",10932,"South Australia"
2021,"Adelaide Plains",9975,"South Australia"
2019,"Adelaide Plains",9338,"South Australia"
2013,"Albany",36318,"Western Australia"
2022,"Albany",40434,"Western Australia"
2021,"Albany",40105,"Western Australia"
2020,"Albany",39629,"Western Australia"
2017,"Albany",37879,"Western Australia"
2015,"Albany",37206,"Western Australia"
2023,"Albany",40949,"Western Australia"
2019,"Albany",39054,"Western Australia"
2018,"Albany",38470,"Western Australia"
2014,"Albany",36919,"Western Australia"
2016,"Albany",37285,"Western Australia"
2018,"Albury",53922,"New South Wales"
2016,"Albury",52171,"New South Wales"
2013,"Albury",50338,"New South Wales"
2023,"Albury",57517,"New South Wales"
2015,"Albury",51486,"New South Wales"
2017,"Albury",53056,"New South Wales"
2020,"Albury",55466,"New South Wales"
2014,"Albury",50990,"New South Wales"
2021,"Albury",56067,"New South Wales"
2022,"Albury",56665,"New South Wales"
2019,"Albury",54657,"New South Wales"
2023,"Alexandrina",30323,"South Australia"
2022,"Alexandrina",29746,"South Australia"
2020,"Alexandrina",28400,"South Australia"
2021,"Alexandrina",29257,"South Australia"
2014,"Alexandrina",25705,"South Australia"
2018,"Alexandrina",27322,"South Australia"
2019,"Alexandrina",27820,"South Australia"
2013,"Alexandrina",25203,"South Australia"
2017,"Alexandrina",26919,"South Australia"
2015,"Alexandrina",26203,"South Australia"
2016,"Alexandrina",26562,"South Australia"
2015,"Alice Springs",26843,"Northern Territory"
2016,"Alice Springs",26518,"Northern Territory"
2013,"Alice Springs",28124,"Northern Territory"
2017,"Alice Springs",26889,"Northern Territory"
2019,"Alice Springs",27600,"Northern Territory"
2018,"Alice Springs",27223,"Northern Territory"
2020,"Alice Springs",28029,"Northern Territory"
2023,"Alice Springs",29213,"Northern Territory"
2014,"Alice Springs",27486,"Northern Territory"
2022,"Alice Springs",28859,"Northern Territory"
2021,"Alice Springs",28483,"Northern Territory"
2019,"Alpine",12904,"Victoria"
2015,"Alpine",12429,"Victoria"
2013,"Alpine",12283,"Victoria"
2014,"Alpine",12355,"Victoria"
2017,"Alpine",12687,"Victoria"
2018,"Alpine",12822,"Victoria"
2023,"Alpine",13182,"Victoria"
2021,"Alpine",13166,"Victoria"
2016,"Alpine",12578,"Victoria"
2022,"Alpine",13191,"Victoria"
2020,"Alpine",13054,"Victoria"
2022,"Anangu Pitjantjatjara Yankunytjatjara",2598,"South Australia"
2021,"Anangu Pitjantjatjara Yankunytjatjara",2554,"South Australia"
2013,"Anangu Pitjantjatjara Yankunytjatjara",2622,"South Australia"
2019,"Anangu Pitjantjatjara Yankunytjatjara",2506,"South Australia"
2017,"Anangu Pitjantjatjara Yankunytjatjara",2476,"South Australia"
2018,"Anangu Pitjantjatjara Yankunytjatjara",2491,"South Australia"
2020,"Anangu Pitjantjatjara Yankunytjatjara",2515,"South Australia"
2016,"Anangu Pitjantjatjara Yankunytjatjara",2498,"South Australia"
2014,"Anangu Pitjantjatjara Yankunytjatjara",2605,"South Australia"
2023,"Anangu Pitjantjatjara Yankunytjatjara",2632,"South Australia"
2015,"Anangu Pitjantjatjara Yankunytjatjara",2568,"South Australia"
2022,"Ararat",11758,"Victoria"
2023,"Ararat",11683,"Victoria"
2015,"Ararat",11644,"Victoria"
2016,"Ararat",11745,"Victoria"
2013,"Ararat",11490,"Victoria"
2014,"Ararat",11560,"Victoria"
2019,"Ararat",11838,"Victoria"
2020,"Ararat",11918,"Victoria"
2017,"Ararat",11796,"Victoria"
2018,"Ararat",11805,"Victoria"
2021,"Ararat",11827,"Victoria"
2021,"Armadale",97644,"Western Australia"
2013,"Armadale",72662,"Western Australia"
2023,"Armadale",105094,"Western Australia"
2019,"Armadale",91543,"Western Australia"
2016,"Armadale",82021,"Western Australia"
2020,"Armadale",94970,"Western Australia"
2017,"Armadale",84875,"Western Australia"
2015,"Armadale",78848,"Western Australia"
2014,"Armadale",75559,"Western Australia"
2018,"Armadale",88068,"Western Australia"
2022,"Armadale",100849,"Western Australia"
2021,"Armidale Regional",29332,NA
2022,"Armidale Regional",29361,NA
2023,"Armidale Regional",29594,NA
2016,"Armidale Regional",29310,NA
2017,"Armidale Regional",29519,NA
2018,"Armidale Regional",29631,NA
2019,"Armidale Regional",29701,NA
2020,"Armidale Regional",29600,NA
2013,"Armidale Regional",28895,NA
2014,"Armidale Regional",29015,NA
2015,"Armidale Regional",29160,NA
2022,"Ashburton",7843,"Western Australia"
2014,"Ashburton",12515,"Western Australia"
2018,"Ashburton",11144,"Western Australia"
2019,"Ashburton",10018,"Western Australia"
2013,"Ashburton",12025,"Western Australia"
2023,"Ashburton",8076,"Western Australia"
2017,"Ashburton",12208,"Western Australia"
2016,"Ashburton",13311,"Western Australia"
2020,"Ashburton",8927,"Western Australia"
2021,"Ashburton",7781,"Western Australia"
2015,"Ashburton",13002,"Western Australia"
2023,"Augusta Margaret River",18620,"Western Australia"
2015,"Augusta Margaret River",14419,"Western Australia"
2019,"Augusta Margaret River",16235,"Western Australia"
2020,"Augusta Margaret River",16792,"Western Australia"
2014,"Augusta Margaret River",13996,"Western Australia"
2013,"Augusta Margaret River",13487,"Western Australia"
2021,"Augusta Margaret River",17303,"Western Australia"
2017,"Augusta Margaret River",15258,"Western Australia"
2018,"Augusta Margaret River",15708,"Western Australia"
2016,"Augusta Margaret River",14819,"Western Australia"
2022,"Augusta Margaret River",17917,"Western Australia"
2023,"Aurukun",1154,"Queensland"
2022,"Aurukun",1124,"Queensland"
